#{"t_start": 1773918864.940496, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,800,144.177815
2.0,821,144.864516
2.0,830,145.575721
3.0,1026,146.428529
0.0,538,146.855327
0.0,527,147.269104
0.0,535,147.68914
0.0,535,148.103361
1.0,631,148.598951
7.0,1019,149.427066
0.0,525,149.850863
8.0,1823,151.37959
0.0,527,151.805687
0.0,537,152.22104
0.0,541,152.636435
0.0,543,153.056098
3.0,996,153.860715
3.0,923,154.610008
2.0,754,155.214328
0.0,529,155.657593
0.0,535,156.079121
3.0,923,156.834752
11.0,1099,157.730234
1.0,722,158.305294
1.0,718,158.894071
1.0,649,159.407619
0.0,524,159.8237
7.0,1527,161.081626
0.0,501,161.477437
0.0,516,161.883539
4.0,1120,162.803846
2.0,842,163.47269
3.0,1088,164.397906
3.0,1002,165.244535
1.0,620,165.769787
2.0,816,166.418248
0.0,522,166.838047
3.0,883,167.547735
0.0,538,167.974221
1.0,641,168.481191
2.0,826,169.154534
0.0,514,169.569021
1.0,705,170.155892
1.0,651,170.674006
2.0,822,171.342423
5.0,1334,172.442859
0.0,534,172.85598
4.0,1002,173.664391
2.0,818,174.340961
1.0,640,174.854442
2.0,830,175.555223
2.0,890,176.295502
0.0,537,176.712847
0.0,527,177.136982
7.0,1019,177.971003
11.0,1111,178.875646
0.0,526,179.299807
0.0,543,179.724308
0.0,521,180.150571
3.0,983,180.962715
1.0,696,181.525682
1.0,623,182.046714
1.0,633,182.56253
5.0,1197,183.579515
2.0,826,184.249914
0.0,528,184.669687
2.0,810,185.335393
0.0,515,185.773584
0.0,531,186.193903
4.0,1147,187.128932
2.0,804,187.783885
0.0,531,188.204866
0.0,543,188.623506
0.0,525,189.047104
0.0,516,189.45801
0.0,524,189.874474
0.0,517,190.300739
0.0,524,190.718207
1.0,690,191.278818
0.0,512,191.728201
3.0,918,192.525639
0.0,526,192.946869
1.0,643,193.460961
0.0,516,193.879143
0.0,530,194.284899
11.0,1087,195.192699
5.0,1337,196.311177
11.0,1103,197.208627
0.0,535,197.630322
4.0,1132,198.574605
1.0,640,199.093428
0.0,532,199.50806
0.0,521,199.931717
0.0,528,200.354081
1.0,643,200.85761
0.0,514,201.272096
2.0,815,201.924055
1.0,648,202.428038
3.0,936,203.208295
2.0,919,203.966977
1.0,625,204.480762
3.0,936,205.277658
2.0,915,206.041692
1.0,636,206.548918
2.0,800,207.194482
2.0,906,207.915997
0.0,537,208.331807
0.0,520,208.734161
2.0,834,209.393713
2.0,739,210.002871
4.0,1224,211.020698
2.0,755,211.633982
2.0,800,212.318831
0.0,526,212.733052
0.0,516,213.135203
2.0,839,213.808135
0.0,521,214.211417
2.0,806,214.867645
2.0,824,215.559121
3.0,941,216.318417
2.0,818,216.978686
0.0,513,217.388733
0.0,535,217.798084
1.0,713,218.370177
0.0,521,218.780829
0.0,520,219.196212
4.0,1122,220.169187
3.0,895,220.882229
2.0,829,221.538908
0.0,517,221.951101
0.0,522,222.395828
0.0,519,222.798055
7.0,1015,223.611669
0.0,515,224.022327
0.0,524,224.44503
0.0,520,224.857701
2.0,820,225.572702
0.0,523,225.981819
3.0,1033,226.822918
0.0,543,227.241138
3.0,957,228.001685
2.0,753,228.605668
3.0,926,229.368776
2.0,812,230.021056
