#{"t_start": 1774085152.8918316, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
180.0,476,237.846454
235.0,479,238.594889
380.0,920,240.027769
200.0,484,240.761208
85.0,376,241.354817
205.0,507,242.154772
275.0,902,243.654482
115.0,360,244.253922
155.0,406,244.893945
135.0,348,245.434772
205.0,489,246.202153
120.0,271,246.637686
225.0,569,247.545305
225.0,372,248.146516
500.0,1105,249.918166
410.0,638,250.926584
215.0,489,251.706522
45.0,426,252.383764
375.0,728,253.604904
140.0,490,254.402439
75.0,444,255.130008
245.0,614,256.11345
260.0,595,257.052124
535.0,775,258.293125
245.0,544,259.172407
170.0,494,259.973633
55.0,285,260.405617
190.0,456,261.143051
140.0,411,261.824068
260.0,434,262.522684
90.0,297,262.999565
20.0,241,263.371577
515.0,879,264.785086
310.0,833,266.147946
265.0,592,267.09372
90.0,369,267.672941
160.0,389,268.289
665.0,836,269.678426
85.0,388,270.296084
30.0,359,270.887063
230.0,922,272.413724
270.0,625,273.419379
425.0,909,274.9126
130.0,345,275.461783
195.0,576,276.379305
225.0,522,277.208786
190.0,812,278.54907
245.0,558,279.445789
300.0,625,280.47998
135.0,379,281.087659
195.0,518,281.953786
435.0,673,283.03774
335.0,631,284.093172
285.0,585,285.031586
265.0,644,286.081115
185.0,515,286.952232
100.0,377,287.572562
335.0,787,288.829778
115.0,454,289.568154
40.0,392,290.205633
230.0,418,290.895984
285.0,661,291.970629
95.0,386,292.586601
235.0,542,293.490476
275.0,681,294.566868
135.0,349,295.097374
40.0,281,295.516703
470.0,802,296.755512
170.0,523,297.585704
315.0,688,298.645241
195.0,563,299.543103
180.0,480,300.295591
210.0,462,301.03299
400.0,715,302.17487
90.0,371,302.76544
185.0,684,303.892705
175.0,392,304.519769
290.0,745,305.696805
240.0,502,306.477384
115.0,398,307.096088
335.0,672,308.173702
375.0,841,309.494937
220.0,501,310.280753
135.0,401,310.919074
200.0,651,311.935079
125.0,476,312.704125
345.0,761,313.94628
150.0,330,314.463945
455.0,737,315.67069
130.0,389,316.28665
270.0,718,317.434142
320.0,711,318.566347
240.0,691,319.688278
270.0,691,320.775625
185.0,458,321.470171
100.0,429,322.127077
75.0,464,322.854079
100.0,335,323.372671
400.0,617,324.345541
605.0,724,325.492073
95.0,363,326.076006
75.0,399,326.732924
175.0,434,327.432574
195.0,524,328.282316
540.0,780,329.515379
290.0,799,330.767033
225.0,550,331.622055
260.0,653,332.638523
180.0,504,333.428272
280.0,495,334.222821
280.0,749,335.393013
85.0,257,335.772385
105.0,330,336.28334
55.0,290,336.69986
455.0,685,337.773525
225.0,673,338.875305
305.0,561,339.761433
110.0,459,340.494987
220.0,530,341.316474
230.0,663,342.368205
220.0,537,343.205351
505.0,716,344.330268
80.0,291,344.76013
545.0,698,345.86349
200.0,467,346.611762
200.0,528,347.465125
80.0,307,347.940277
230.0,702,349.052902
465.0,503,349.859277
215.0,557,350.751995
385.0,859,352.117301
320.0,694,353.233475
435.0,822,354.581322
240.0,509,355.381422
325.0,829,356.707776
345.0,648,357.725147
200.0,576,358.650622
160.0,389,359.243128
140.0,442,359.948549
265.0,541,360.818885
340.0,681,361.950833
580.0,778,363.177068
395.0,632,364.184557
290.0,711,365.289251
430.0,785,366.542858
90.0,357,367.101377
220.0,540,367.942025
270.0,615,368.948504
340.0,686,370.04812
215.0,680,371.121845
635.0,1121,372.866578
225.0,523,373.721639
325.0,624,374.71611
95.0,435,375.389681
290.0,696,376.499041
430.0,734,377.663848
275.0,639,378.720609
235.0,407,379.345326
215.0,538,380.194562
260.0,595,381.134624
300.0,637,382.136645
440.0,651,383.170328
290.0,553,384.079651
265.0,706,385.176178
200.0,365,385.76756
225.0,684,386.880393
180.0,491,387.679131
185.0,513,388.494961
455.0,701,389.583117
665.0,1109,391.288344
255.0,419,391.9371
440.0,921,393.376424
60.0,308,393.85264
140.0,490,394.587955
115.0,377,395.163051
245.0,519,395.973125
95.0,267,396.377764
230.0,547,397.217484
260.0,648,398.232324
245.0,757,399.377821
185.0,494,400.133477
180.0,570,401.023076
200.0,492,401.763445
95.0,356,402.307391
90.0,307,402.769048
185.0,342,403.298768
185.0,608,404.27428
300.0,635,405.27362
250.0,649,406.301934
205.0,433,406.984195
320.0,765,408.207898
250.0,629,409.255999
360.0,775,410.477649
95.0,459,411.216352
310.0,715,412.326382
335.0,583,413.25407
325.0,674,414.311021
265.0,886,415.683331
270.0,663,416.724643
110.0,324,417.213814
115.0,279,417.616636
485.0,630,418.579184
260.0,654,419.595825
165.0,574,420.501298
495.0,600,421.442169
295.0,634,422.465587
300.0,453,423.19387
190.0,535,424.10694
140.0,483,424.879686
135.0,455,425.604114
245.0,573,426.52521
455.0,622,427.546311
235.0,514,428.380454
175.0,482,429.178725
215.0,443,429.864194
160.0,428,430.515183
490.0,811,431.756908
295.0,667,432.79603
400.0,884,434.218581
350.0,732,435.377346
275.0,554,436.256297
275.0,648,437.296833
110.0,379,437.893957
245.0,833,439.222189
280.0,656,440.284856
190.0,511,441.091607
445.0,786,442.330571
160.0,475,443.089425
215.0,706,444.220607
195.0,473,444.955516
250.0,501,445.750957
330.0,550,446.602927
185.0,520,447.4155
525.0,729,448.545604
350.0,712,449.639583
215.0,561,450.500172
270.0,682,451.572004
445.0,571,452.476826
60.0,281,452.894473
270.0,503,453.722926
175.0,345,454.238716
415.0,552,455.078841
260.0,602,456.018748
375.0,576,456.897133
300.0,471,457.613251
210.0,506,458.379239
105.0,394,458.979586
280.0,677,460.017155
175.0,379,460.603666
155.0,503,461.367617
130.0,352,461.919137
240.0,658,462.925998
185.0,702,464.067896
190.0,665,465.098388
295.0,626,466.071008
250.0,611,467.055384
205.0,568,467.966799
190.0,580,468.872427
185.0,636,469.86892
350.0,728,470.964688
230.0,468,471.695853
165.0,480,472.439777
340.0,644,473.478422
210.0,377,474.056318
165.0,404,474.670791
95.0,306,475.141721
180.0,502,475.919725
720.0,913,477.313792
390.0,668,478.347281
255.0,656,479.405979
325.0,572,480.308925
165.0,498,481.083835
200.0,503,481.895278
275.0,478,482.65597
545.0,1018,484.247864
210.0,494,485.03295
305.0,645,486.069417
475.0,995,487.633584
265.0,593,488.571768
130.0,473,489.321962
480.0,1033,490.901276
120.0,474,491.626748
370.0,664,492.67589
235.0,490,493.446031
165.0,336,493.991097
375.0,656,495.035181
345.0,673,496.101451
345.0,774,497.30911
190.0,631,498.323874
315.0,708,499.460339
605.0,1020,501.03688
185.0,634,502.024601
440.0,855,503.317924
345.0,664,504.373879
350.0,711,505.459182
435.0,717,506.557894
515.0,627,507.533668
150.0,437,508.21834
150.0,416,508.8691
70.0,320,509.356667
260.0,513,510.167393
310.0,706,511.268408
300.0,668,512.31937
195.0,498,513.1041
