#{"t_start": 1773916785.3520246, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,522,141.405135
2.0,761,142.007363
0.0,532,142.419616
3.0,1004,143.233265
0.0,516,143.636952
2.0,803,144.286117
0.0,535,144.710072
0.0,519,145.136086
0.0,531,145.560809
0.0,541,145.993302
1.0,637,146.520492
1.0,655,147.045057
0.0,527,147.473028
1.0,649,147.995698
0.0,541,148.417305
0.0,543,148.839461
3.0,1004,149.667233
0.0,517,150.080727
0.0,534,150.506471
0.0,513,150.916324
0.0,535,151.334437
5.0,1383,152.480823
3.0,887,153.200739
6.0,1446,154.418685
3.0,1004,155.278066
0.0,519,155.694249
0.0,524,156.124271
2.0,813,156.806136
0.0,515,157.225698
2.0,808,157.886448
4.0,1208,158.90398
0.0,526,159.325683
0.0,514,159.749797
5.0,1403,160.943823
2.0,791,161.594147
0.0,540,162.010248
4.0,1204,163.015748
2.0,817,163.666439
4.0,1103,164.565204
1.0,713,165.162942
2.0,818,165.83592
3.0,1078,166.752962
0.0,520,167.171232
0.0,537,167.6023
4.0,1102,168.528079
2.0,812,169.185846
3.0,1021,170.007625
3.0,1016,170.82692
1.0,680,171.36271
2.0,819,172.024724
0.0,514,172.434635
0.0,518,172.847147
2.0,769,173.465163
0.0,527,173.880831
7.0,1027,174.730811
0.0,541,175.175094
0.0,526,175.602696
0.0,529,176.008272
2.0,805,176.666382
0.0,543,177.090736
0.0,517,177.498149
0.0,516,177.910897
1.0,633,178.420573
1.0,624,178.928604
3.0,889,179.644619
0.0,528,180.062647
2.0,810,180.7207
0.0,507,181.117921
0.0,531,181.545491
5.0,1434,182.724172
0.0,528,183.144475
2.0,810,183.805617
1.0,657,184.322058
2.0,801,184.99398
0.0,516,185.418379
0.0,524,185.844442
0.0,517,186.273517
0.0,524,186.723819
0.0,521,187.143982
0.0,520,187.563998
2.0,749,188.178798
3.0,1018,189.01898
0.0,531,189.439865
0.0,516,189.858955
1.0,692,190.422755
0.0,493,190.821913
0.0,538,191.247916
3.0,881,191.96435
0.0,535,192.385681
0.0,511,192.791058
0.0,528,193.21028
0.0,532,193.632591
3.0,1000,194.451787
0.0,528,194.880885
0.0,539,195.317679
5.0,1278,196.377958
1.0,622,196.883786
0.0,543,197.305394
2.0,889,198.05524
0.0,535,198.482892
2.0,763,199.10215
2.0,826,199.781841
0.0,531,200.203218
0.0,524,200.643201
2.0,760,201.272183
3.0,1018,202.104822
0.0,537,202.526126
0.0,520,202.939023
0.0,541,203.354774
0.0,523,203.777093
0.0,532,204.206013
0.0,527,204.622778
0.0,500,205.060465
4.0,1208,206.05048
0.0,524,206.470165
0.0,535,206.883265
0.0,520,207.289254
2.0,823,207.96231
0.0,524,208.384131
2.0,769,209.008087
6.0,1396,210.168974
0.0,527,210.608065
0.0,520,211.024252
3.0,933,211.802364
2.0,763,212.416081
0.0,520,212.835471
2.0,882,213.548428
5.0,1187,214.526367
0.0,537,214.961063
1.0,631,215.504774
0.0,508,215.914859
0.0,519,216.339561
1.0,649,216.862082
2.0,791,217.543674
0.0,524,217.971181
0.0,520,218.401394
0.0,508,218.824645
0.0,523,219.238761
0.0,521,219.652609
0.0,543,220.074198
2.0,829,220.755181
0.0,521,221.177679
8.0,1271,222.242437
0.0,528,222.668724
0.0,539,223.096609
0.0,521,223.523665
0.0,537,223.953693
0.0,536,224.390274
0.0,527,224.823276
1.0,605,225.335524
0.0,499,225.7488
3.0,934,226.520155
0.0,543,226.95139
2.0,757,227.57076
3.0,988,228.397865
2.0,818,229.091618
5.0,1410,230.308578
0.0,516,230.743329
0.0,531,231.170695
0.0,536,231.593483
1.0,651,232.116007
1.0,641,232.642468
2.0,810,233.312558
1.0,702,233.899065
0.0,531,234.327791
3.0,1092,235.280576
0.0,532,235.709988
0.0,507,236.135184
4.0,1228,237.153934
3.0,1024,237.992675
3.0,996,238.824417
2.0,814,239.489465
2.0,810,240.145876
9.0,1620,241.510318
1.0,657,242.035935
3.0,1014,242.890695
0.0,510,243.292679
0.0,521,243.705616
0.0,519,244.124799
0.0,539,244.546093
0.0,543,244.991244
0.0,539,245.437067
0.0,543,245.869025
4.0,1214,246.882217
0.0,523,247.30516
2.0,826,247.986003
0.0,543,248.413592
11.0,1099,249.338599
0.0,518,249.759041
3.0,926,250.522364
0.0,543,250.94578
0.0,520,251.370114
3.0,935,252.128359
0.0,541,252.547029
0.0,524,252.961958
0.0,511,253.366775
0.0,540,253.794254
4.0,1125,254.740641
0.0,517,255.180871
0.0,516,255.588911
0.0,535,255.995298
2.0,823,256.660851
5.0,1418,257.830604
0.0,520,258.249671
0.0,536,258.668357
0.0,511,259.077502
2.0,816,259.734337
0.0,535,260.152032
0.0,523,260.57458
9.0,1644,261.935887
2.0,810,262.595639
1.0,710,263.163288
0.0,517,263.576982
0.0,521,263.979834
0.0,527,264.402171
2.0,818,265.116183
0.0,542,265.535183
2.0,792,266.195292
4.0,1220,267.198721
2.0,802,267.854232
2.0,798,268.505866
2.0,819,269.172793
2.0,757,269.802134
4.0,1194,270.818688
0.0,515,271.263481
0.0,543,271.700602
0.0,526,272.10662
0.0,519,272.528659
0.0,524,272.950387
2.0,834,273.642229
1.0,643,274.168357
0.0,518,274.586004
0.0,523,275.043263
3.0,930,275.826245
0.0,523,276.254104
0.0,519,276.681633
0.0,541,277.115642
0.0,519,277.54577
1.0,712,278.138751
0.0,532,278.570373
2.0,815,279.244081
2.0,813,279.925638
3.0,1030,280.782658
0.0,543,281.203381
4.0,1201,282.216833
0.0,520,282.640088
0.0,518,283.032592
0.0,535,283.457436
4.0,1053,284.334142
4.0,1011,285.193199
0.0,519,285.620521
2.0,757,286.22627
4.0,1218,287.247322
0.0,520,287.676123
0.0,494,288.079569
0.0,524,288.495657
0.0,524,288.925055
2.0,738,289.532746
0.0,520,289.955639
3.0,1103,290.865466
0.0,537,291.282652
0.0,529,291.727076
3.0,1023,292.553732
2.0,824,293.227801
1.0,653,293.744724
2.0,826,294.413349
0.0,509,294.845754
2.0,792,295.541103
0.0,524,295.969357
4.0,1214,296.9805
0.0,530,297.394778
0.0,515,297.824878
3.0,1030,298.662133
1.0,651,299.17764
0.0,536,299.59281
0.0,535,300.009955
0.0,508,300.418189
1.0,708,300.978193
0.0,543,301.39574
0.0,520,301.833876
3.0,988,302.670188
4.0,1212,303.692793
0.0,507,304.11076
9.0,1632,305.515997
1.0,637,306.035504
2.0,792,306.6899
0.0,508,307.105286
2.0,826,307.78596
0.0,532,308.202381
2.0,820,308.863004
4.0,1197,309.858176
2.0,800,310.499591
0.0,532,310.924101
2.0,804,311.578082
2.0,815,312.235597
0.0,519,312.638579
0.0,524,313.051421
0.0,524,313.473772
2.0,814,314.146384
0.0,543,314.585604
2.0,821,315.297314
2.0,819,315.967941
4.0,1217,316.988936
2.0,810,317.658147
4.0,1222,318.661636
0.0,524,319.072941
0.0,522,319.468434
0.0,539,319.897473
5.0,1192,320.865196
0.0,506,321.265279
0.0,543,321.671083
0.0,523,322.086274
0.0,519,322.491151
4.0,1206,323.48588
0.0,520,323.895927
2.0,829,324.575186
4.0,1094,325.521663
2.0,818,326.22468
0.0,533,326.653739
0.0,537,327.080842
1.0,703,327.656074
0.0,540,328.083797
0.0,516,328.509799
0.0,539,328.936215
0.0,529,329.354954
0.0,525,329.774121
2.0,821,330.447038
2.0,817,331.099503
0.0,523,331.521375
0.0,531,331.94507
0.0,525,332.37222
0.0,521,332.779579
0.0,501,333.173475
0.0,517,333.579736
0.0,521,333.994002
5.0,1426,335.215711
2.0,882,335.949323
0.0,539,336.37422
0.0,536,336.801081
0.0,522,337.221864
0.0,526,337.653212
2.0,809,338.327339
1.0,617,338.824606
2.0,820,339.494099
0.0,524,339.921352
0.0,542,340.333089
0.0,503,340.730354
2.0,790,341.38149
3.0,920,342.126448
4.0,1201,343.107624
0.0,528,343.530461
0.0,532,343.947635
1.0,712,344.522478
0.0,515,344.927849
0.0,531,345.361539
0.0,523,345.785429
0.0,540,346.217915
6.0,1608,347.567389
1.0,696,348.124444
0.0,543,348.547387
0.0,540,348.97639
0.0,537,349.393878
0.0,529,349.805566
0.0,539,350.226017
2.0,816,350.891307
5.0,1426,352.068946
0.0,523,352.483487
0.0,521,352.906147
