#{"t_start": 1774090219.845025, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
230.0,630,200.392213
185.0,641,201.330765
280.0,639,202.26054
100.0,456,202.954494
390.0,927,204.298567
375.0,662,205.26532
210.0,649,206.191824
165.0,523,206.96403
145.0,560,207.745288
130.0,365,208.236423
185.0,509,208.952943
215.0,608,209.853842
110.0,461,210.517353
85.0,362,211.037009
265.0,481,211.70189
345.0,741,212.727342
110.0,389,213.259366
110.0,374,213.770826
255.0,718,214.788925
150.0,517,215.510828
130.0,419,216.060439
315.0,692,217.018727
190.0,513,217.743601
335.0,649,218.672247
385.0,990,220.074171
100.0,383,220.595222
245.0,612,221.49897
60.0,237,221.84375
450.0,690,222.83995
280.0,544,223.637217
40.0,238,223.957771
440.0,607,224.82869
165.0,464,225.478564
225.0,693,226.49798
80.0,395,227.067638
445.0,1210,228.782746
215.0,448,229.402853
500.0,648,230.312051
210.0,668,231.258963
125.0,489,231.959526
90.0,360,232.462791
110.0,377,232.975773
165.0,382,233.518176
45.0,266,233.875895
210.0,685,234.855116
190.0,519,235.600011
80.0,412,236.195584
615.0,962,237.559436
535.0,873,238.802158
125.0,512,239.53669
495.0,574,240.34018
135.0,385,240.889899
250.0,553,241.657304
350.0,837,242.864959
285.0,654,243.810428
190.0,514,244.554067
160.0,588,245.407291
145.0,373,245.947997
260.0,523,246.765977
355.0,738,247.837298
235.0,663,248.796767
70.0,284,249.197944
95.0,343,249.705748
105.0,263,250.07943
125.0,425,250.680156
210.0,494,251.376085
300.0,796,252.527119
245.0,746,253.57257
85.0,449,254.197802
235.0,786,255.29503
195.0,494,255.984472
140.0,361,256.517838
420.0,721,257.521781
660.0,941,258.829359
240.0,557,259.637338
430.0,940,260.959798
650.0,911,262.236571
540.0,1313,264.089616
250.0,581,264.956437
225.0,483,265.672167
195.0,546,266.491151
215.0,592,267.366498
430.0,839,268.575557
235.0,611,269.45721
160.0,473,270.150279
25.0,373,270.682547
135.0,477,271.370777
195.0,502,272.088025
130.0,355,272.598324
235.0,614,273.476353
255.0,618,274.369446
545.0,801,275.49521
550.0,1043,276.973307
220.0,547,277.71627
215.0,488,278.392896
370.0,753,279.455359
200.0,510,280.200873
175.0,386,280.748235
145.0,384,281.30915
70.0,326,281.791907
250.0,508,282.53621
190.0,499,283.253732
235.0,521,283.995566
100.0,497,284.695956
255.0,542,285.4503
235.0,526,286.196787
65.0,382,286.764848
225.0,713,287.77747
135.0,482,288.451518
305.0,684,289.434454
160.0,507,290.144511
700.0,1138,291.745406
80.0,257,292.09593
200.0,460,292.760724
340.0,642,293.674302
30.0,280,294.046256
70.0,309,294.477296
195.0,473,295.156668
160.0,504,295.891526
435.0,746,296.964602
320.0,748,298.044061
230.0,723,299.081934
155.0,478,299.764131
290.0,632,300.684111
320.0,694,301.70655
325.0,706,302.731027
445.0,591,303.597486
385.0,567,304.421473
555.0,769,305.557514
515.0,1011,307.007953
350.0,563,307.820745
305.0,704,308.833156
330.0,699,309.817692
335.0,737,310.864675
305.0,661,311.816048
170.0,451,312.448688
185.0,411,313.01641
335.0,571,313.830352
215.0,561,314.636199
205.0,543,315.440097
200.0,473,316.139384
