#{"t_start": 1773918175.1168506, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
9.0,1624,137.904057
0.0,529,138.327045
2.0,808,138.988084
0.0,534,139.400496
0.0,531,139.804137
0.0,527,140.219228
0.0,535,140.626318
1.0,727,141.211038
0.0,531,141.621863
2.0,765,142.240667
2.0,817,142.906932
2.0,833,143.578234
1.0,639,144.092226
0.0,521,144.495949
0.0,541,144.911913
3.0,1039,145.790305
0.0,510,146.19422
3.0,873,146.91707
3.0,1026,147.749104
1.0,641,148.265077
0.0,535,148.687777
0.0,525,149.108559
2.0,814,149.770315
4.0,1306,150.852621
3.0,1028,151.696829
0.0,535,152.117121
0.0,524,152.534278
11.0,1091,153.432907
2.0,803,154.148446
0.0,524,154.577932
4.0,1178,155.600602
0.0,535,156.017728
3.0,1094,156.934458
3.0,1010,157.775218
0.0,515,158.193395
0.0,540,158.610426
1.0,615,159.112287
9.0,1327,160.204226
0.0,538,160.618537
1.0,637,161.118244
0.0,534,161.53426
0.0,507,161.942221
0.0,520,162.366772
3.0,928,163.110013
3.0,926,163.866829
2.0,822,164.547387
0.0,534,164.976428
7.0,1015,165.832167
0.0,518,166.251827
3.0,1018,167.084623
0.0,538,167.508134
4.0,1098,168.418357
8.0,1139,169.370751
1.0,623,169.870385
6.0,1247,170.895727
11.0,1111,171.79987
0.0,526,172.231534
0.0,543,172.663215
7.0,999,173.501311
2.0,851,174.190478
0.0,516,174.628228
0.0,516,175.057465
11.0,1091,176.001448
4.0,1067,176.90015
7.0,1019,177.736282
0.0,528,178.160796
0.0,534,178.580484
0.0,515,179.007151
1.0,645,179.517417
4.0,1098,180.421013
1.0,632,180.9264
0.0,531,181.345362
0.0,543,181.762168
11.0,1095,182.672774
1.0,700,183.249917
0.0,524,183.665742
7.0,1003,184.511684
0.0,524,184.929459
11.0,1091,185.862612
0.0,520,186.28578
11.0,1095,187.188958
0.0,526,187.599161
0.0,531,188.01686
2.0,804,188.692391
0.0,515,189.104177
11.0,1087,189.997086
0.0,538,190.415692
11.0,1103,191.319486
0.0,535,191.734071
1.0,711,192.303307
0.0,528,192.720386
2.0,832,193.396108
7.0,999,194.222999
5.0,1084,195.130419
3.0,1023,195.983056
4.0,1202,196.984055
0.0,522,197.389522
4.0,1165,198.348073
7.0,1009,199.184032
2.0,921,199.916466
8.0,1131,200.830884
4.0,1140,201.766344
2.0,835,202.445135
2.0,904,203.190828
5.0,1298,204.271412
0.0,534,204.698989
11.0,1107,205.635853
5.0,1400,206.811211
11.0,1111,207.72434
2.0,747,208.333179
5.0,1304,209.427698
3.0,866,210.133017
0.0,514,210.541241
2.0,819,211.214041
2.0,736,211.815847
1.0,647,212.331966
2.0,923,213.072695
4.0,1218,214.074551
4.0,1212,215.090891
11.0,1107,216.036198
2.0,826,216.711663
2.0,899,217.436126
2.0,916,218.189443
7.0,1013,219.029456
11.0,1099,219.94513
6.0,1390,221.103251
9.0,1624,222.468579
11.0,1107,223.370625
11.0,1107,224.281647
3.0,860,225.009219
3.0,1010,225.900339
2.0,817,226.577042
11.0,1107,227.477041
1.0,627,227.995376
3.0,858,228.691962
1.0,712,229.277092
3.0,860,229.986394
3.0,873,230.69635
11.0,1091,231.609761
5.0,1289,232.693933
12.0,1302,233.786004
11.0,1091,234.740795
6.0,1482,236.043294
5.0,1255,237.101164
3.0,871,237.805529
11.0,1091,238.694168
11.0,1107,239.601732
3.0,889,240.317971
2.0,911,241.070142
4.0,1066,241.951149
1.0,622,242.451817
3.0,1007,243.264311
0.0,543,243.680334
15.0,1558,245.016782
3.0,991,245.87343
3.0,867,246.592145
3.0,999,247.419391
4.0,1040,248.292439
0.0,531,248.712561
4.0,1220,249.714519
12.0,1306,250.78497
11.0,1099,251.696222
7.0,1703,253.12409
6.0,1628,254.518566
1.0,637,255.043421
2.0,810,255.727985
4.0,1126,256.653067
1.0,703,257.232991
6.0,1346,258.33779
5.0,1328,259.42793
1.0,620,259.922422
4.0,979,260.726623
6.0,1527,261.987951
4.0,1114,262.928016
2.0,750,263.538243
5.0,1400,264.712867
4.0,1296,265.840493
3.0,873,266.559302
4.0,1055,267.444767
0.0,539,267.86567
3.0,891,268.596845
0.0,539,269.023968
4.0,1247,270.073422
5.0,1290,271.176059
0.0,523,271.590935
4.0,999,272.40218
0.0,543,272.826784
11.0,1099,273.722207
5.0,1244,274.754726
6.0,1430,275.973192
5.0,1275,277.019114
4.0,1058,277.88358
11.0,1099,278.815996
12.0,1318,279.911793
3.0,856,280.620421
6.0,1423,281.822508
6.0,1316,282.912213
4.0,1090,283.816085
4.0,1064,284.70817
6.0,1362,285.8795
5.0,1327,286.966456
12.0,1239,287.988047
5.0,1298,289.103699
3.0,856,289.816449
0.0,536,290.242727
5.0,1192,291.232091
0.0,532,291.642533
6.0,1404,292.817998
2.0,907,293.596488
4.0,1224,294.620814
6.0,1399,295.817203
4.0,1206,296.836491
12.0,1143,297.807336
11.0,1107,298.6949
5.0,1261,299.742254
6.0,1379,300.887217
8.0,1724,302.322003
3.0,1014,303.150851
3.0,916,303.879654
2.0,831,304.551277
5.0,1228,305.604063
8.0,1553,306.875969
7.0,1003,307.691626
4.0,1108,308.610308
1.0,699,309.18361
7.0,1461,310.375395
7.0,1526,311.631903
2.0,923,312.377553
9.0,1773,313.862262
4.0,1222,314.879291
5.0,1112,315.829635
5.0,1282,316.897196
8.0,1684,318.28616
9.0,1640,319.641272
18.0,2249,321.543081
16.0,1872,323.118498
8.0,1703,324.537127
18.0,1182,325.563482
5.0,1167,326.546738
10.0,2098,328.347934
14.0,1422,329.531445
11.0,1487,330.776904
8.0,1642,332.134002
3.0,975,332.939905
5.0,1498,334.196326
10.0,1431,335.414254
11.0,2034,337.153248
15.0,1817,338.644303
8.0,1135,339.553588
11.0,1107,340.44745
4.0,1139,341.393686
13.0,1211,342.386737
7.0,1588,343.691784
14.0,1601,345.027351
13.0,1332,346.179153
10.0,1994,347.84281
12.0,1706,349.263941
8.0,1670,350.648651
9.0,1250,351.678295
5.0,1179,352.646219
4.0,983,353.449934
5.0,1188,354.437835
7.0,1025,355.31733
19.0,2148,357.170647
8.0,1149,358.115648
9.0,1323,359.224804
14.0,1792,360.734979
9.0,1308,361.821797
8.0,1716,363.243559
12.0,1996,364.887847
7.0,1814,366.466878
3.0,939,367.233086
9.0,2078,368.976263
5.0,1367,370.087408
10.0,2166,371.869195
8.0,1877,373.420367
7.0,1416,374.594911
5.0,1134,375.544529
3.0,893,376.256283
5.0,1242,377.276142
9.0,2106,379.022931
5.0,1294,380.075689
6.0,1359,381.223184
5.0,1294,382.278015
12.0,1299,383.336508
4.0,1128,384.260713
10.0,2156,386.106145
7.0,1810,387.610957
10.0,1993,389.270122
12.0,1310,390.382737
9.0,1624,391.769121
8.0,1756,393.244034
12.0,1291,394.310444
5.0,1322,395.4489
9.0,1938,397.069211
10.0,2089,398.839683
10.0,2330,400.812578
10.0,2095,402.590486
7.0,1594,403.92601
19.0,2425,405.994965
12.0,1277,407.042869
21.0,2433,409.151302
11.0,1908,410.725479
13.0,2100,412.460876
17.0,2132,414.263117
9.0,1919,415.87193
8.0,1898,417.459094
4.0,1087,418.343489
14.0,2135,420.151675
15.0,2522,422.281452
16.0,1903,423.874191
12.0,2088,425.649491
10.0,2050,427.436376
7.0,1662,428.840168
8.0,1702,430.247033
7.0,1021,431.06922
7.0,1482,432.31251
14.0,2292,434.21179
6.0,1303,435.318169
5.0,1189,436.27799
14.0,2555,438.412909
13.0,2358,440.365779
16.0,2386,442.375101
26.0,2130,444.152773
14.0,1542,445.472104
9.0,1250,446.528164
15.0,1755,448.005216
14.0,1518,449.256028
32.0,2244,451.131812
30.0,2029,452.81286
12.0,1227,453.826233
11.0,2201,455.658461
13.0,1503,456.912778
6.0,1239,457.924504
15.0,1590,459.261965
12.0,2393,461.267112
18.0,2314,463.221099
15.0,2287,465.165001
15.0,1814,466.721805
11.0,1726,468.191807
12.0,2124,469.960403
13.0,1762,471.412064
9.0,1945,473.022099
10.0,1522,474.300071
24.0,3010,476.875947
14.0,2262,478.770021
13.0,2284,480.690471
